ophys_session_id,image_name,drift_magnitude,drift_angle
994199725,im075,0.158354711,20.02570558
994199725,omitted,0.06143551,16.18802678
994199725,im000,0.179203135,30.13380277
994199725,im054,0.169974686,21.29631763
994199725,im035,0.176770929,20.30035265
994199725,im045,0.383237438,28.61222495
994199725,im106,0.120792273,64.8617464
994199725,im073,0.27247829,11.09461603
994199725,im031,0.094952319,30.01304881
957189583,omitted,0.099631376,22.28647479
957189583,im045,0.348436664,20.18053657
957189583,im073,0.218202525,23.87443561
957189583,im031,0.116030619,36.67567599
957189583,im106,0.203185099,26.35596455
957189583,im035,0.194059274,28.71103225
957189583,im075,0.14998619,50.97909782
957189583,im000,0.194220565,33.95466908
957189583,im054,0.15115936,18.16718992
992783847,im054,0.144874877,16.29871843
992783847,im000,0.158034103,66.10243144
992783847,im073,0.149005536,26.43714916
992783847,omitted,0.046179784,32.34285644
992783847,im075,0.322817571,88.523647
992783847,im045,0.182270117,46.9256697
992783847,im106,0.205134029,76.01642238
992783847,im035,0.140026453,36.44181326
992783847,im031,0.189504516,63.46407037
979379271,im073,0.230940147,31.14767945
979379271,im054,0.119536544,27.78610531
979379271,im045,0.199544064,25.1671109
979379271,im106,0.152952665,48.03244083
979379271,im031,0.122995442,37.94412963
979379271,omitted,0.036962683,21.84322141
979379271,im035,0.159548546,33.85971126
979379271,im000,0.116769698,48.54498675
979379271,im075,0.080247421,33.06415785
1010684546,im031,0.055022323,27.06309113
1010684546,omitted,0.045058504,25.37051848
1010684546,im000,0.05523956,49.34729054
1010684546,im054,0.084099676,29.67148625
1010684546,im106,0.07559238,18.99247199
1010684546,im073,0.039242836,10.98107248
1010684546,im075,0.050249919,30.29776889
1010684546,im035,0.120660395,64.85304857
1010684546,im045,0.082353768,59.09687695
1001860744,omitted,0.060968945,18.22471133
1001860744,im106,0.055257246,28.47154861
1001860744,im000,0.101819852,53.19313619
1001860744,im031,0.110471744,25.29668377
1001860744,im054,0.079954272,16.49234488
1001860744,im035,0.109633619,40.01158197
1001860744,im045,0.20049465,12.80929071
1001860744,im073,0.130022478,41.68109995
1001860744,im075,0.147133375,17.0778712
985610440,omitted,0.026920031,12.82952871
985610440,im031,0.0153363,32.5054586
985610440,im106,0.042344258,67.47729558
985610440,im045,0.045731191,98.66726589
985610440,im073,0.021738077,11.67842539
985610440,im035,0.059353031,26.81844986
985610440,im054,0.025138728,27.63887382
985610440,im075,0.044351118,66.72186208
985610440,im000,0.03221436,33.84509875